"Время, сек","Rz_L, Н","Rz_R, Н","Rx, Н"
0.0,0.0,0.0,
0.0099974796176,26114.300781,14264.0,650.0
0.019998099655,23865.0,22976.0,650.0
0.029999200255,20587.300781,24575.0,650.0
0.039972100407,18983.400391,24851.0,650.0
0.049973201007,19599.199219,22757.300781,650.0
0.059974301606,21131.599609,20498.5,650.0
0.069972999394,22364.400391,19016.199219,650.0
0.079973898828,22461.699219,18845.0,650.0
0.089975096285,21596.599609,19710.0,650.0
0.099976100028,20494.800781,20875.300781,650.0
0.10997600108,20036.699219,21677.900391,650.0
0.11997699738,20552.400391,21841.699219,650.0
0.12997800112,21604.0,21579.800781,650.0
0.13997800648,22532.699219,21279.400391,650.0
0.14997899532,22751.699219,21195.300781,650.0
0.15997999907,22249.0,21344.5,650.0
0.16998100281,21451.800781,21540.900391,650.0
0.17997899652,20931.5,21594.199219,650.0
0.18997900188,20989.599609,21384.5,650.0
0.19997900724,21457.400391,21048.5,650.0
0.20997899771,21930.5,20766.800781,650.0
0.21998000145,22028.599609,20681.900391,650.0
0.22998100519,21746.5,20765.199219,650.0
0.23998199403,21370.099609,20898.199219,650.0
0.24998299778,21206.400391,20973.099609,650.0
0.25998398662,21388.400391,20946.400391,650.0
0.26998499036,21714.0,20893.900391,650.0
0.27998501062,21922.5,20846.900391,650.0
0.28998601437,21867.599609,20886.900391,650.0
0.29998698831,21660.599609,20974.900391,650.0
0.30998599529,21514.199219,21003.199219,650.0
0.31998699903,21556.099609,20991.300781,650.0
0.32998800278,21740.300781,20940.099609,650.0
0.33998900652,21859.300781,20885.199219,650.0
0.34998801351,21855.0,20880.900391,650.0
0.35998898745,21753.199219,20893.800781,650.0
0.36998999119,21655.099609,20897.5,650.0
0.37999099493,21684.800781,20889.5,650.0
0.38999199867,21775.5,20838.0,650.0
0.39999100566,21841.199219,20794.699219,650.0
0.4099920094,21851.5,20811.0,650.0
0.41999301314,21804.0,20786.099609,650.0
0.42999398708,21763.699219,20795.099609,650.0
0.43999299407,21780.5,20788.5,650.0
0.44999399781,21834.5,20776.199219,650.0
0.45999601483,21871.199219,20754.5,650.0
0.4699960053,21864.599609,20739.0,650.0
0.47999599576,21842.5,20745.599609,650.0
0.4899969995,21835.800781,20744.099609,650.0
0.49999800324,21850.300781,20742.199219,650.0
0.50999802351,21879.599609,20732.900391,650.0
0.51999598742,21897.0,20710.5,650.0
0.52999699116,21892.199219,20692.699219,650.0
0.5399979949,21871.099609,20701.800781,650.0
0.54999899864,21880.0,20711.599609,650.0
0.55999797583,21900.0,20693.599609,650.0
0.56999897957,21923.300781,20679.900391,650.0
0.57997202873,21909.199219,20684.599609,650.0
0.5899720192,21894.900391,20681.400391,650.0
0.59997302294,21904.699219,20670.400391,650.0
0.6099730134,21933.5,20665.5,650.0
0.61997401714,21921.199219,20660.400391,650.0
0.62997400761,21916.5,20661.0,650.0
